,home_loc,school_loc,home_latlng,school_latlng,home_lat,home_lng,school_lat,school_lng
117,"Tampa, FL ","Auburn, Alabama","[27.950575, -82.4571776]","[32.6098566, -85.48078249999999]",27.950575,-82.4571776,32.6098566,-85.4807825
118,"Niceville, FL ","Auburn, Alabama","[30.5168639, -86.48217199999999]","[32.6098566, -85.48078249999999]",30.5168639,-86.482172,32.6098566,-85.4807825
119,"Ellenwood, GA ","Auburn, Alabama","[33.609725, -84.2873662]","[32.6098566, -85.48078249999999]",33.609725,-84.2873662,32.6098566,-85.4807825
120,"Lawrenceville, GA ","Auburn, Alabama","[33.9562149, -83.9879625]","[32.6098566, -85.48078249999999]",33.9562149,-83.9879625,32.6098566,-85.4807825
121,"Asheboro, NC ","Auburn, Alabama","[35.7079146, -79.8136446]","[32.6098566, -85.48078249999999]",35.7079146,-79.8136446,32.6098566,-85.4807825
122,"Atlanta, GA ","Auburn, Alabama","[33.7489954, -84.3879824]","[32.6098566, -85.48078249999999]",33.7489954,-84.3879824,32.6098566,-85.4807825
123,"Chandler, AZ ","Tempe, Arizona","[33.3061605, -111.8412502]","[33.4255104, -111.9400054]",33.3061605,-111.8412502,33.4255104,-111.9400054
124,"Chandler, AZ ","Tempe, Arizona","[33.3061605, -111.8412502]","[33.4255104, -111.9400054]",33.3061605,-111.8412502,33.4255104,-111.9400054
125,"Houston, TX ","Houston, Texas","[29.7604267, -95.3698028]","[29.7604267, -95.3698028]",29.7604267,-95.3698028,29.7604267,-95.3698028
126,"Bellaire, TX ","Houston, Texas","[29.7057858, -95.4588299]","[29.7604267, -95.3698028]",29.7057858,-95.4588299,29.7604267,-95.3698028
127,"Fort Lauderdale, FL ","Columbus, Ohio","[26.1224386, -80.13731740000001]","[39.9611755, -82.99879419999999]",26.1224386,-80.1373174,39.9611755,-82.9987942
128,"Olney, MD ","Columbus, Ohio","[39.1531627, -77.066923]","[39.9611755, -82.99879419999999]",39.1531627,-77.066923,39.9611755,-82.9987942
129,"North Ridgeville, OH ","Columbus, Ohio","[41.3894905, -82.01903209999999]","[39.9611755, -82.99879419999999]",41.3894905,-82.0190321,39.9611755,-82.9987942
130,"Cincinnati, OH ","Columbus, Ohio","[39.1031182, -84.5120196]","[39.9611755, -82.99879419999999]",39.1031182,-84.5120196,39.9611755,-82.9987942
131,"Gahanna, OH ","Columbus, Ohio","[40.0192307, -82.8793446]","[39.9611755, -82.99879419999999]",40.0192307,-82.8793446,39.9611755,-82.9987942
132,"Coconut Creek, FL ","Columbus, Ohio","[26.2517482, -80.17893509999999]","[39.9611755, -82.99879419999999]",26.2517482,-80.1789351,39.9611755,-82.9987942
133,"Fort Wayne, IN ","Columbus, Ohio","[41.079273, -85.1393513]","[39.9611755, -82.99879419999999]",41.079273,-85.1393513,39.9611755,-82.9987942
134,"Canton, MI ","Columbus, Ohio","[42.3086444, -83.48211599999999]","[39.9611755, -82.99879419999999]",42.3086444,-83.482116,39.9611755,-82.9987942
135,"Potomac, MD ","Columbus, Ohio","[39.0181651, -77.2085914]","[39.9611755, -82.99879419999999]",39.0181651,-77.2085914,39.9611755,-82.9987942
136,"New London, NC ","Columbus, Ohio","[35.4431965, -80.2192225]","[39.9611755, -82.99879419999999]",35.4431965,-80.2192225,39.9611755,-82.9987942
137,"Perry, OH ","Columbus, Ohio","[41.7603259, -81.1409322]","[39.9611755, -82.99879419999999]",41.7603259,-81.1409322,39.9611755,-82.9987942
138,"Vienna, GA ","Gainesville, Florida","[32.0915577, -83.7954518]","[29.6516344, -82.32482619999999]",32.0915577,-83.7954518,29.6516344,-82.3248262
139,"Cocoa, FL ","Gainesville, Florida","[28.3861159, -80.7419984]","[29.6516344, -82.32482619999999]",28.3861159,-80.7419984,29.6516344,-82.3248262
140,"Crawfordville, FL ","Gainesville, Florida","[30.19448389999999, -84.37112069999999]","[29.6516344, -82.32482619999999]",30.1944839,-84.3711207,29.6516344,-82.3248262
141,"Houston, TX ","Gainesville, Florida","[29.7604267, -95.3698028]","[29.6516344, -82.32482619999999]",29.7604267,-95.3698028,29.6516344,-82.3248262
142,"Hallandale, FL ","Gainesville, Florida","[25.9812024, -80.14837899999999]","[29.6516344, -82.32482619999999]",25.9812024,-80.148379,29.6516344,-82.3248262
143,"Citra, FL ","Gainesville, Florida","[29.41191659999999, -82.10981559999999]","[29.6516344, -82.32482619999999]",29.4119166,-82.1098156,29.6516344,-82.3248262
144,"Santa Ana, CA ","Stanford, California","[33.7455731, -117.8678338]","[37.42410599999999, -122.1660756]",33.7455731,-117.8678338,37.424106,-122.1660756
145,"Flower Mound, TX ","Stanford, California","[33.0145673, -97.0969552]","[37.42410599999999, -122.1660756]",33.0145673,-97.0969552,37.424106,-122.1660756
146,"Rancho Santa Margarita, CA ","Stanford, California","[33.640855, -117.603104]","[37.42410599999999, -122.1660756]",33.640855,-117.603104,37.424106,-122.1660756
147,"Etiwanda, CA ","Stanford, California","[34.1261208, -117.5236622]","[37.42410599999999, -122.1660756]",34.1261208,-117.5236622,37.424106,-122.1660756
148,"Lexington, KY ","Lexington, Kentucky","[38.0405837, -84.5037164]","[38.0405837, -84.5037164]",38.0405837,-84.5037164,38.0405837,-84.5037164
149,"Jonesboro, GA ","Lexington, Kentucky","[33.5215013, -84.3538128]","[38.0405837, -84.5037164]",33.5215013,-84.3538128,38.0405837,-84.5037164
150,"Ann Arbor, MI ","South Bend, Indiana","[42.2808256, -83.7430378]","[41.6763545, -86.25198979999999]",42.2808256,-83.7430378,41.6763545,-86.2519898
151,"Cincinnati, OH ","South Bend, Indiana","[39.1031182, -84.5120196]","[41.6763545, -86.25198979999999]",39.1031182,-84.5120196,41.6763545,-86.2519898
152,"Corona, CA ","South Bend, Indiana","[33.8752935, -117.5664384]","[41.6763545, -86.25198979999999]",33.8752935,-117.5664384,41.6763545,-86.2519898
153,"Abbotsford, BC ","South Bend, Indiana","[49.054587, -122.328026]","[41.6763545, -86.25198979999999]",49.054587,-122.328026,41.6763545,-86.2519898
154,"Cleveland, OH ","South Bend, Indiana","[41.49932, -81.6943605]","[41.6763545, -86.25198979999999]",41.49932,-81.6943605,41.6763545,-86.2519898
155,"Farmington Hills, MI ","South Bend, Indiana","[42.4989936, -83.3677168]","[41.6763545, -86.25198979999999]",42.4989936,-83.3677168,41.6763545,-86.2519898
156,"Oradell, NJ ","Knoxville, Tennessee","[40.9587093, -74.0368064]","[35.9606384, -83.9207392]",40.9587093,-74.0368064,35.9606384,-83.9207392
157,"Naples, FL ","Knoxville, Tennessee","[26.1420358, -81.7948103]","[35.9606384, -83.9207392]",26.1420358,-81.7948103,35.9606384,-83.9207392
158,"Charlotte, NC ","Knoxville, Tennessee","[35.2270869, -80.8431267]","[35.9606384, -83.9207392]",35.2270869,-80.8431267,35.9606384,-83.9207392
159,"Suwanee, GA ","Knoxville, Tennessee","[34.0514898, -84.0712997]","[35.9606384, -83.9207392]",34.0514898,-84.0712997,35.9606384,-83.9207392
160,"Warner Robins, GA ","Knoxville, Tennessee","[32.6130007, -83.624201]","[35.9606384, -83.9207392]",32.6130007,-83.624201,35.9606384,-83.9207392
161,"Pittsburgh, PA ","State College, Pennsylvania","[40.44062479999999, -79.9958864]","[40.7933949, -77.8600012]",40.4406248,-79.9958864,40.7933949,-77.8600012
162,"Reading, PA ","State College, Pennsylvania","[40.3356483, -75.9268747]","[40.7933949, -77.8600012]",40.3356483,-75.9268747,40.7933949,-77.8600012
163,"Hyattsville, MD ","State College, Pennsylvania","[38.9559442, -76.9455301]","[40.7933949, -77.8600012]",38.9559442,-76.9455301,40.7933949,-77.8600012
164,"Lehman, PA ","State College, Pennsylvania","[41.3165973, -76.0223765]","[40.7933949, -77.8600012]",41.3165973,-76.0223765,40.7933949,-77.8600012
165,"Scottsdale, AZ ","Seattle, Washington","[33.4941704, -111.9260519]","[47.6062095, -122.3320708]",33.4941704,-111.9260519,47.6062095,-122.3320708
166,"Oakland, CA ","Seattle, Washington","[37.8043637, -122.2711137]","[47.6062095, -122.3320708]",37.8043637,-122.2711137,47.6062095,-122.3320708
167,"Bellflower, CA ","Seattle, Washington","[33.8816818, -118.1170117]","[47.6062095, -122.3320708]",33.8816818,-118.1170117,47.6062095,-122.3320708
168,"Bellevue, WA ","Seattle, Washington","[47.610377, -122.2006786]","[47.6062095, -122.3320708]",47.610377,-122.2006786,47.6062095,-122.3320708
169,"Fort Lauderdale, FL ","Coral Gables, Florida","[26.1224386, -80.13731740000001]","[25.72149, -80.2683838]",26.1224386,-80.1373174,25.72149,-80.2683838
170,"Orange Park, FL","Coral Gables, Florida","[30.1660736, -81.706484]","[25.72149, -80.2683838]",30.1660736,-81.706484,25.72149,-80.2683838
171,"Miami, FL ","Coral Gables, Florida","[25.7616798, -80.1917902]","[25.72149, -80.2683838]",25.7616798,-80.1917902,25.72149,-80.2683838
172,"Miami, FL ","Coral Gables, Florida","[25.7616798, -80.1917902]","[25.72149, -80.2683838]",25.7616798,-80.1917902,25.72149,-80.2683838
173,"Palmetto, FL ","Coral Gables, Florida","[27.5214269, -82.57231929999999]","[25.72149, -80.2683838]",27.5214269,-82.5723193,25.72149,-80.2683838
174,"Hope, AR ","Fayetteville, Arkansas","[33.6670615, -93.5915665]","[36.0625795, -94.1574263]",33.6670615,-93.5915665,36.0625795,-94.1574263
175,"Metairie, LA ","Fayetteville, Arkansas","[29.9840922, -90.1528519]","[36.0625795, -94.1574263]",29.9840922,-90.1528519,36.0625795,-94.1574263
176,"Beaumont, TX ","Fayetteville, Arkansas","[30.080174, -94.1265562]","[36.0625795, -94.1574263]",30.080174,-94.1265562,36.0625795,-94.1574263
177,"Little Rock, AR ","Fayetteville, Arkansas","[34.7464809, -92.28959479999999]","[36.0625795, -94.1574263]",34.7464809,-92.2895948,36.0625795,-94.1574263
178,"Sachse, TX ","Waco, Texas","[32.9762327, -96.5952703]","[31.549333, -97.1466695]",32.9762327,-96.5952703,31.549333,-97.1466695
179,"Silsbee, TX ","Waco, Texas","[30.3490976, -94.17796240000001]","[31.549333, -97.1466695]",30.3490976,-94.1779624,31.549333,-97.1466695
180,"Trophy Club, TX","Waco, Texas","[32.9979014, -97.1836246]","[31.549333, -97.1466695]",32.9979014,-97.1836246,31.549333,-97.1466695
181,"Navasota, TX ","Waco, Texas","[30.3879845, -96.0877349]","[31.549333, -97.1466695]",30.3879845,-96.0877349,31.549333,-97.1466695
182,"Waco, TX ","Waco, Texas","[31.549333, -97.1466695]","[31.549333, -97.1466695]",31.549333,-97.1466695,31.549333,-97.1466695
183,"Copperas Cove, TX ","Waco, Texas","[31.124062, -97.90307849999999]","[31.549333, -97.1466695]",31.124062,-97.9030785,31.549333,-97.1466695
184,"Port Arthur, TX ","Waco, Texas","[29.8849504, -93.93994699999999]","[31.549333, -97.1466695]",29.8849504,-93.939947,31.549333,-97.1466695
185,"Darien, IL ","East Lansing, Michigan","[41.7483483, -87.9737943]","[42.7369792, -84.48386540000001]",41.7483483,-87.9737943,42.7369792,-84.4838654
186,"Detroit, MI ","East Lansing, Michigan","[42.331427, -83.0457538]","[42.7369792, -84.48386540000001]",42.331427,-83.0457538,42.7369792,-84.4838654
187,"Sicklerville, NJ ","East Lansing, Michigan","[39.7172152, -74.9697707]","[42.7369792, -84.48386540000001]",39.7172152,-74.9697707,42.7369792,-84.4838654
188,"Ft. Wayne, IN ","East Lansing, Michigan","[41.079273, -85.1393513]","[42.7369792, -84.48386540000001]",41.079273,-85.1393513,42.7369792,-84.4838654
189,"Huber Heights, OH ","East Lansing, Michigan","[39.843947, -84.12466080000002]","[42.7369792, -84.48386540000001]",39.843947,-84.1246608,42.7369792,-84.4838654
190,"Detroit, MI ","East Lansing, Michigan","[42.331427, -83.0457538]","[42.7369792, -84.48386540000001]",42.331427,-83.0457538,42.7369792,-84.4838654
191,"Cleveland, OH ","East Lansing, Michigan","[41.49932, -81.6943605]","[42.7369792, -84.48386540000001]",41.49932,-81.6943605,42.7369792,-84.4838654
192,"Roselle, IL ","East Lansing, Michigan","[41.9847504, -88.07979329999999]","[42.7369792, -84.48386540000001]",41.9847504,-88.0797933,42.7369792,-84.4838654
193,"Metairie, LA ","Baton Rouge, Louisiana","[29.9840922, -90.1528519]","[30.4582829, -91.1403196]",29.9840922,-90.1528519,30.4582829,-91.1403196
194,"Destrehan, LA ","Baton Rouge, Louisiana","[29.9429828, -90.3517469]","[30.4582829, -91.1403196]",29.9429828,-90.3517469,30.4582829,-91.1403196
195,"Bradenton, FL ","Baton Rouge, Louisiana","[27.4989278, -82.5748194]","[30.4582829, -91.1403196]",27.4989278,-82.5748194,30.4582829,-91.1403196
