,home_loc,school_loc,home_latlng,school_latlng,home_lat,home_lng,school_lat,school_lng
235,"Houston, TX ","Fort Worth, Texas","[29.7604267, -95.3698028]","[32.7554883, -97.3307658]",29.7604267,-95.3698028,32.7554883,-97.3307658
236,"Kingwood, TX ","Fort Worth, Texas","[30.0575359, -95.19029859999999]","[32.7554883, -97.3307658]",30.0575359,-95.1902986,32.7554883,-97.3307658
237,"Oklahoma City, OK ","Stillwater, Oklahoma","[35.4675602, -97.5164276]","[36.1156071, -97.0583681]",35.4675602,-97.5164276,36.1156071,-97.0583681
238,"Atlanta, GA ","Columbia, South Carolina","[33.7489954, -84.3879824]","[34.0007104, -81.0348144]",33.7489954,-84.3879824,34.0007104,-81.0348144
239,"Moultrie, GA ","Columbia, South Carolina","[31.1799407, -83.7888387]","[34.0007104, -81.0348144]",31.1799407,-83.7888387,34.0007104,-81.0348144
240,"Waterford, MI ","Louisville, Kentucky","[42.6907443, -83.4066132]","[38.2526647, -85.7584557]",42.6907443,-83.4066132,38.2526647,-85.7584557
241,"Pembroke Pines, FL ","Orlando, Florida","[26.007765, -80.2962555]","[28.5383355, -81.3792365]",26.007765,-80.2962555,28.5383355,-81.3792365
242,"Atlanta, GA ","Orlando, Florida","[33.7489954, -84.3879824]","[28.5383355, -81.3792365]",33.7489954,-84.3879824,28.5383355,-81.3792365
243,"San Marcos, CA","Provo, Utah","[33.1433723, -117.1661449]","[40.2338438, -111.6585337]",33.1433723,-117.1661449,40.2338438,-111.6585337
244,"Saint Clairsville, OH ","Morgantown, West Virginia","[40.0803199, -80.90176]","[39.629526, -79.95589679999999]",40.0803199,-80.90176,39.629526,-79.9558968
245,"D'Iberville, MS ","San Antonio, Texas","[30.4263092, -88.89086379999999]","[29.4241219, -98.49362819999999]",30.4263092,-88.8908638,29.4241219,-98.4936282
246,"Independence, MO ","Manhattan, Kansas","[39.0911161, -94.41550679999999]","[39.18360819999999, -96.57166939999999]",39.0911161,-94.4155068,39.1836082,-96.5716694
247,"Carmichael, CA ","Boulder, Colorado","[38.617127, -121.3282843]","[40.0149856, -105.2705456]",38.617127,-121.3282843,40.0149856,-105.2705456
248,"Durham, NC ","Chapel Hill, North Carolina","[35.9940329, -78.898619]","[35.9131996, -79.0558445]",35.9940329,-78.898619,35.9131996,-79.0558445
249,"St. Louis, MO ","Evanston, Illinois","[38.6270025, -90.19940419999999]","[42.0450722, -87.68769689999999]",38.6270025,-90.1994042,42.0450722,-87.6876969
